sms_id,Texte_texte,Texte_profondeur_arbre_max,Texte_profondeur_arbre_moy,Texte_distance_dependance_max,Texte_distance_dependance_moy,Texte_distance_dependance_var,Texte_nb_dependances_moy_phrase,Texte_nb_dependances_var_phrase,Texte_nb_phrases,Texte_nb_tokens,divergence_score
1,"Dans le film Les Damnés – titre originellement en italien La Chute des dieux en référence à l'opéra éponyme de Richard Wagner – Luchino Visconti met en scène la famille Essenbeck, propriétaire d'une grande aciérie allemande qui collabore à la montée du nazisme au pouvoir dans les années 1930\.",8,8.0,28,3.6,28.130909090909082,55.0,0.0,1,56,0.0
2,"Dans ce drame se lit une métaphore de la violence qui domina cette période de l'histoire, placée par Visconti sous le signe d'un nihilisme métaphysique, d'une destruction des valeurs et de toute transcendance, au profit de l'expansion des pulsions de mort les plus primaires: la violence qui s'exprime dans le film est aussi bien celle dirigée contre l'autre et l'étranger dans le racisme, que celle dirigée contre ses propres pairs et proches dans l'inceste et le parricide, qu'encore celle dirigée contre soi-même dans la destruction projective de soi dans l'autre à travers la pédophilie du jeune héritier de la famille.",12,12.0,124,4.6953125,154.14935302734375,128.0,0.0,1,129,0.0
3,"C'est une violence uniquement déterminée par la haine et l'ambition illimitée du pouvoir, de la domination ; toute dimension rituelle ou sacrificielle qui encadrerait la violence dans un contexte religieux fait ici défaut, la violence est déritualisée libérée de toute entrave, littéralement hors norme et hors cadre.",7,7.0,50,4.037037037037037,60.70233196159121,54.0,0.0,1,55,0.0
4,"En se référant à l'opéra de Wagner, Les Damnés renvoient à une conception du temps qui est celui des mythologies, et donc un temps cyclique qui encadre l'expansion de la violence dans des rituels, c'est-à-dire contraignent la pulsion de mort à répéter la répétition, chose qu'elle cherche justement à fuir dans un éternel recommencement qui annule le sentiment de durée propre à la répétition.",16,16.0,68,3.6,59.714999999999996,80.0,0.0,1,81,0.0
5,"Hors de ce cadre, de cette norme, la pulsion de mort est livrée à elle-même, elle intègre le sujet dans une temporalité viciatrice qui, pour Visconti, est précisément la temporalité du nazisme.",6,6.0,25,3.282051282051282,19.99737015121631,39.0,0.0,1,40,0.0
6,Le film semble ainsi faire l'hypothèse selon laquelle l'expansion de pulsions violentes serait déterminée par une certaine conception du temps historique.,7,7.0,23,3.24,21.1424,25.0,0.0,1,26,0.0
7,"En effet, en tant que passion négatrice inéluctable, la violence est par excellence la passion de la démesure, celle que les conventions cherchent premièrement à contenir en posant des interdits universels (celui de ne pas tuer autrui).",9,9.0,26,3.2857142857142856,20.299319727891156,42.0,0.0,1,43,0.0
8,"En tant que passion négative, la violence ne peut trouver en elle-même sa résolution, celle-ci ne peut être posée que de l'extérieur par des normes sociales.",6,6.0,25,3.4705882352941178,20.307958477508652,34.0,0.0,1,35,0.0
9,"D'où l'importance, en tant que norme particulière, de la conception sociale, culturelle ou civilisationnelle du temps, qui varie selon les époques et les sociétés.",6,6.0,27,3.59375,23.1787109375,32.0,0.0,1,33,0.0
10,"L'histoire implique une conception elle-même historicisée du temps: il est par exemple cyclique dans les mythologies antiques gréco-romaines, et linéaire dans la religion chrétienne.",5,5.0,29,3.5625,28.18359375,32.0,0.0,1,33,0.0
11,C'est nécessairement dans une certaine normalisation du temps que s'exprime la violence des individus et des groupes.,6,6.0,14,3.2857142857142856,8.965986394557822,21.0,0.0,1,22,0.0
12,"Dès lors se pose le problème de la meilleure organisation du temps, celle qui encadrera le mieux l'expansion de la violence, qui, parce qu'elle est passion négatrice mue par la pulsion de mort, possède un lien substantiel avec la temporalité, la répétition propre au temps cyclique et le recommencement propre au temps linéaire.",12,12.0,59,3.8870967741935485,64.90660770031216,62.0,0.0,1,63,0.0
13,"Cependant, parce qu'elle est cette passion, la violence pose aussi le problème de la prise de conscience qui lui est associée.",5,5.0,13,2.96,9.958399999999997,25.0,0.0,1,26,0.0
14,"Avant de poser l'organisation du temps, il convient de prendre conscience de la pulsion de mort qui détermine la passion violente, et du caractère temporalisé de cette pulsion.",7,7.0,22,3.125,17.671875,32.0,0.0,1,33,0.0
15,Comment la violence peut-elle être constituée en problème politique alors que sa productivité semble au contraire être ce qui détermine le politique à son insu ?,7,7.0,24,2.8518518518518516,19.903978052126202,27.0,0.0,1,28,0.0
16,"Comment renverser cette logique inconsciente pour dépasser le Topos selon lequel se serait l’expression de la violence (essentiellement dans les guerres entre Etats ou groupes sociaux) qui ferait l'Histoire, et reconnaître au contraire que ce serait la manière dont on conçoit l'Histoire qui déterminerait l’expression de la violence ?",8,8.0,58,4.084745762711864,69.77247917265154,59.0,0.0,1,60,0.0
17,"Dans un premier temps, nous verrons que la violence trouve dans l'Histoire des expressions ritualisées sous forme de jeux ou de sacrifices qui ne mettent pas cette passion au service d'un désir de domination et de conquête ; c'est ici la dimension anthropologique du problème, qui montre que la violence trouve une expression toujours socio-historiquement située et spécifique à cette situation.",9,9.0,65,3.7746478873239435,78.37175163658003,71.0,0.0,1,72,0.0
18,"Dans un deuxième temps nous verrons que dans les sociétés occidentales, une certaine conception du temps dominée par l'idée de progrès induit la recherche d'une solution métaphysique au problème de la violence, qui ne constitue pas celui-ci comme un problème politique mais en fait une détermination ou essentialisation de la nature humaine.",11,11.0,55,3.9166666666666665,58.94305555555557,60.0,0.0,1,61,0.0
19,"Enfin, nous verrons comment la violence peut se constituer en problème politique par le biais de la mémoire historique, d'une resaisie rétroactive des violences du passé, qui de fait permet la réintroduction du temps cyclique dans le temps linéaire de la temporalité occidentale.",11,11.0,45,3.1458333333333335,40.45789930555555,48.0,0.0,1,49,0.0
20,"Le problème de la violence dans l'Histoire nous apparaît au moment même où nous le posons ici, dans le contexte politique qui est celui de l'Occident, c'est-à-dire dans le cadre de l'Etat-nation.",5,5.0,38,4.333333333333333,36.22222222222222,48.0,0.0,1,49,0.0
21,"Ainsi, Max Weber, dans La domination, définit cet État comme ce qui a le monopole de la violence physique légitime.",6,6.0,14,2.739130434782609,9.584120982986766,23.0,0.0,1,24,0.0
22,"Cette légitimité est autre que les trois catégories de légitimité que Weber établit (charismatique, liée à l'autorité d'un chef - traditionnelle, liée à l'autorité d'une coutume - légale liée à l'autorité de la loi) ; elle est fondée en droit (et donc a part à la légitimité légale) dans l'Etat de droit, mais appartient aussi aux Etats autoritaires et dictatoriaux, car elle est essentiellement fondée sur la force numérique, qui donne à l'Etat un pouvoir de réprimer toute violence (illégale, mafieuse, sectaire, factieuse, etc.) qui concurrence la sienne.",11,11.0,115,4.669491525423729,145.23822177535192,118.0,0.0,1,119,0.0
23,"Les Etats-nations apparaissent alors comme avant tout des outils de domination au sein desquels la violence peut trouver un moyen d'expansion illimité: C'est l'exemple des Etats totalitaires nazi, nippon ou soviétique au XXe siècle, qui tous se sont engagés dans des guerres de conquête (l'Europe de l'Est pour le nazisme, l'Europe de l'Est pour l'URSS, la Mandchourie pour le Japon) uniquement motivées par la volonté de domination.",9,9.0,88,4.684782608695652,107.91150756143665,92.0,0.0,1,93,0.0
24,"On voit que ce qui détermine la légitimité de ce monopole de la violence physique est bien la force et non la légitimité légale, car le totalitarisme nazi émerge dans un Etat de droit qui est celui de la République de Weimar.",8,8.0,42,4.116279069767442,49.451595457003776,43.0,0.0,1,44,0.0
25,"En effet, l'article 48 de la Constitution de Weimar permit au chancelier Hindenburg de déclarer l'état d'urgence et de gouverner en dictateur sur une courte période ; article qui fut utilisé par Hitler pour lancer sa politique fasciste lorsqu'il remplaça Hindenburg en 1933 (cf.",8,8.0,17,2.9444444444444446,11.830246913580247,54.0,0.0,1,55,0.0
26,"Agamben, Homo Sacer 2, L'Etat d'exception).",4,4.0,13,3.923076923076923,16.532544378698223,13.0,0.0,1,14,0.0
27,Cet exemple montre que la violence et le droit ne sont pas antinomiques.,5,5.0,11,4.0,13.384615384615385,13.0,0.0,1,14,0.0
28,"En effet, ce n'est pas tant le rapport de la violence à la norme qui est substantiel, que le rapport de la violence à une norme spécifique qui est celle de la répétition et de l'organisation du temps social.",9,9.0,35,3.6444444444444444,29.25135802469136,45.0,0.0,1,46,0.0
29,"Il faut pour démontrer cela, faire retour à la pulsion de mort telle qu'elle est découverte par la psychanalyse freudienne (Deuil et mélancolie) - la pulsion de mort est un désir de néantisation des excitations psychiques qui sont associées aux phénomènes de répétition.",10,10.0,47,3.6666666666666665,62.555555555555564,48.0,0.0,1,49,0.0
30,"Or tout est répétition dans l'existence : le sommeil, le réveil, la satisfaction des besoins vitaux tels que l'alimentation, les activités de travail ou de loisir, etc.",10,10.0,24,2.8,15.131428571428572,35.0,0.0,1,36,0.0
31,"Tous ces comportements sont associés à des excitations psychiques toujours répétées, or ce sont ces excitations que refuse la pulsion de mort.",6,6.0,19,3.130434782608696,16.72211720226843,23.0,0.0,1,24,0.0
32,"En refusant la répétition, qui n'est pas répétition du même mais répétition de singularités (on ne rêve jamais exactement la même chose dans le sommeil, on peut ne pas manger le même repas, etc.).",6,6.0,41,4.476190476190476,51.24943310657597,42.0,0.0,1,43,0.0
33,"La pulsion de mort recherche un recommencement perpétuel, elle veut faire table rase et repartir de zéro ; c'est l'élément destructif et négateur qui la caractérise, or cet élément réside dans la violence.",6,6.0,35,3.7435897435897436,37.575279421433265,39.0,0.0,1,40,0.0
34,"Cette dernière est par conséquent un refus de ce qui a été, un refus de la durée même et donc du temps.",5,5.0,17,3.0434782608695654,11.780718336483929,23.0,0.0,1,24,0.0
35,"Le temps est également aboli dans le sentiment que la répétition est une répétition du même, car la pulsion de mort ramène chaque répétition à la mêmeté d'une excitation psychique : tout se ramène alors à la forme de cette excitation vidée de contenu, contenu lui-même vidé de sens, étant donné que c'est par le sens que le contenu de cette excitation psychique peut lui-même se constituer comme un contenu.",9,9.0,77,4.3580246913580245,90.35329980185946,81.0,0.0,1,82,0.0
36,"Ainsi, la pulsion de mort, en aliénant le sujet de son existence temporelle, détruit également l'identité du sujet ; ce qui fait qu'il demeure égal à lui-même dans le temps est brisé avec la répétition et le refus de la durée.",7,7.0,34,3.8,31.44,50.0,0.0,1,51,0.0
37,"D'où que l'inscription au sein d'une constitution garantissant l'Etat de droit d'un article autorisant les pleins pouvoirs, même sur une courte durée et de manière exceptionnelle, présente un risque pour la paix au sein de ce même État, car c'est une autorisation à faire table rase, pour une période donnée, du respect du droit qui prévalait jusqu'alors ; elle représente donc une brèche pour la pulsion de mort, une brisure du temps démocratique qui peut ne pas se refermer si les circonstances sont défavorables.",9,9.0,66,4.461538461538462,84.78698224852073,104.0,0.0,1,105,0.0
38,"Ainsi, il apparaît qu'un Etat de droit où serait garantie la non brisure du temps, de la durée démocratique, pourrait fournir un cadre satisfaisant à la pulsion de mort qui fonde la violence.",8,8.0,35,4.473684210526316,50.09141274238227,38.0,0.0,1,39,0.0
39,On voit que cela n'est possible que si cependant existe une conscience de cette durée démocratique au niveau des législateurs.,6,6.0,21,3.409090909090909,18.0599173553719,22.0,0.0,1,23,0.0
40,Il faudrait alors au législateur la conviction que la violence se fait par l'Histoire mais qu'au contraire c'est l'organisation et la compréhension sociale du temps qui détermine l'expansion de la violence.,8,8.0,40,4.0,41.02439024390244,41.0,0.0,1,42,0.0
41,C'est ce qu'enseigne un regard anthropologique sur les sociétés sans État comme celui de Pierre Clastres dans La société contre l'Etat (ch. 11).,7,4.5,25,2.838709677419355,18.844953173777313,15.5,182.25,2,33,0.0
42,"Clastres montre, à partir des Tupi-Guarani, que les sociétés sans Etat sont des sociétés sans domination.",5,5.0,19,3.85,24.827500000000004,20.0,0.0,1,21,0.0
43,"Cette dernière s'institue lorsqu'un guerrier impétueux et avide de gloire tente d'entraîner la population dans des guerres vaines et coûteuses ; la domination se constitue par l'absence de résistance à la démesure de ce chef, mais Clastres montre que souvent le chef n'est pas suivi par la population lorsque ses ambitions semblent exagérées ; ainsi ces sociétés restent sans État parce que la violence illimitée, la démesure, conserve son ridicule auprès de la population, et ne devient alors jamais légitime.",7,7.0,90,4.404255319148936,104.79402444545042,94.0,0.0,1,95,0.0
44,La cause en est que la guerre est davantage associée à un loisir des hommes qu'à une fonction - le combat est pour les hommes un loisir où ils font l'épreuve ludique de leur force.,7,7.0,36,3.923076923076923,38.32741617357002,39.0,0.0,1,40,0.0
45,"C'est ici un exemple de violence encadrée, régulée par le jeu ou le rite, qui associe son expression à un plaisir immédiat et épisodique incompatible avec une institutionnalisation sur longue durée et dans une structure de type étatique de la domination.",10,10.0,40,3.2,34.60444444444444,45.0,0.0,1,46,0.0
46,D'où que ces sociétés sans Etat demeurent de petite taille car aucun esprit de conquête ne les anime.,6,6.0,20,3.95,20.847500000000004,20.0,0.0,1,21,0.0
47,"Par ailleurs, ces sociétés ont une conception du temps cyclique proche des sociétés antiques gréco-romaines, car le temps social est organisé en fonction du cycle des saisons, les périodes de moisson sont les périodes de travail, mais celui-ci n'est pas rendu permanent comme dans une société productiviste, il reste occasionnel, le reste du temps étant occupé par les loisirs.",7,7.0,66,4.450704225352113,73.65602063082721,71.0,0.0,1,72,0.0
48,On ne peut faire ici l'économie d'une distinction fondamentale entre ce temps cyclique et le temps linéaire qui caractérise la conception occidentale et chrétienne du temps depuis saint Augustin.,9,9.0,31,3.1515151515151514,28.674012855831034,33.0,0.0,1,34,0.0
49,"En arrachant le temps à l'Histoire même, elle fait nécessairement s'inscrire la violence dans une autre dimension que la dimension ludique ou rituelle ; elle l'inscrit dans une perspective métaphysique qui pose le dépassement de la violence dans une idéologie du progrès, entendu comme un progrès de la culture et de la civilisation sur une nature humaine primitive et archaïque.",12,12.0,53,3.5,44.779411764705884,68.0,0.0,1,69,0.0
50,L'Occident chrétien détermine une conception de l'histoire et du temps qui modifie profondément l'expression et la compréhension de la violence.,6,6.0,22,3.076923076923077,17.532544378698226,26.0,0.0,1,27,0.0
51,"En posant le dogme chrétien de la chute comme fondateur, Augustin envisage un temps linéaire qui est celui de l'Histoire telle que pensée par l'Occident : en effet, dans la culture chrétienne l'homme vient au monde en ayant une fin prédéterminée qui est la fin eschatologique du rachat de son âme pécheresse dont tout homme hérite depuis la chute d'Adam et Eve du paradis.",11,11.0,62,3.72972972972973,61.60262965668372,74.0,0.0,1,75,0.0
52,"Ainsi le temps de l'existence du chrétien est marqué par un commencement et une fin, et entièrement tendu vers l'accomplissement de cette fin (le salut de l'âme dans l'au-delà, cf.",6,6.0,12,2.953488372093023,7.253650621957815,43.0,0.0,1,44,0.0
53,"Confessions, livre X).",3,3.0,5,2.2,2.16,5.0,0.0,1,6,0.0
54,Cette existence est envisagée comme un progrès continu vers cette fin.,4,4.0,8,2.3636363636363638,4.049586776859504,11.0,0.0,1,12,0.0
55,"Or c'est cette histoire individuelle que l'Occident chrétien projette dans sa conception de l'histoire collective, elle-même tendue vers le progrès, mais non plus un progrès eschatologique mais un progrès technologique et technique de maîtrise (de domination) de la nature.",8,8.0,46,3.549019607843137,43.777008842752785,51.0,0.0,1,52,0.0
56,"L'abolition du temps cyclique dans la théologie chrétienne semble alors fonctionner comme une destitution de la pulsion de mort dans l'Histoire, par glissement progressif du domaine existentiel, individuel, au domaine historique, collectif.",8,8.0,30,3.15,24.2775,40.0,0.0,1,41,0.0
57,"Ainsi, la violence est envisagée elle-même sur le mode d'une temporalité linéaire comme une chose à dépasser, à surmonter, tandis que la temporalité cyclique ne pouvait que l'intégrer au sein d'une pratique ludique ou rituelle, en permettant la gestion.",8,8.0,46,3.9019607843137254,53.46097654748175,51.0,0.0,1,52,0.0
58,"Au contraire, dans la pensée chrétienne la violence doit tendre à sa suppression.",4,4.0,9,2.4285714285714284,4.816326530612244,14.0,0.0,1,15,0.0
59,"C'est ainsi que Kant l'envisage tant dans Idée d'une histoire universelle au point de vue cosmopolitique : le conflit, la guerre sont porteurs d'un enseignement, ils font prendre conscience aux hommes du caractère destructeur de la violence et les incite par le mal même, à rechercher une solution à cette violence, qui passe essentiellement par l'idée d'un droit international régulant les guerres, mais aussi par l'établissement d'un gouvernement mondial s'appuyant sur le commerce économique pour adoucir les moeurs.",11,11.0,98,3.9504950495049505,101.8094304479953,101.0,0.0,1,102,0.0
60,C'est ce qui mène Kant à défendre l'idée d'une paix perpétuelle (Vers la paix perpétuelle).,7,7.0,20,2.8260869565217392,14.578449905482044,23.0,0.0,1,24,0.0
61,"D'un tel point de vue téléologique, il y a une vertu à la violence car elle résulte d'une mise en compétition des hommes qui ne se fait pas pour le jeu cette fois ci mais parce qu'il y a de plus sérieux, soit le progrès de l'humanité vers la fin de la violence et de la guerre (une paix perpétuelle).",9,9.0,61,3.9444444444444446,57.941358024691354,72.0,0.0,1,73,0.0
62,"Ainsi, les arbres dans une forêt poussent haut et droit lorsqu'ils sont les uns à côté des autres, en concurrence pour qu'ils puissent atteindre une place au soleil par leurs cimes tandis que l'arbre qui pousse seul restera rabougri, arbustif, et à l'ombre (Idée d'une histoire universelle, chap.5).",7,7.0,60,4.417910447761194,66.42236578302517,67.0,0.0,1,68,0.0
63,"Cependant, si la violence est une vertu dans cette compétition, comment justifier qu'il soit à la fin préférable de l'abolir ?",6,6.0,13,3.1923076923076925,9.847633136094673,26.0,0.0,1,27,0.0
64,Comment peut-on aboutir à une paix perpétuelle tandis que cette paix a besoin de se confronter aux effets de la violence et de la guerre pour se décider et s'établir ?,8,8.0,33,3.5588235294117645,35.4818339100346,34.0,0.0,1,35,0.0
65,Il y a là une contradiction qui repose sur une métaphysique de la raison.,6,6.0,12,2.5,7.535714285714286,14.0,0.0,1,15,0.0
66,"En effet, l'homme de la philosophie kantienne de l'histoire est plongé dans la guerre et la violence comme dans l’expérience.",5,5.0,15,3.6296296296296298,13.78875171467764,27.0,0.0,1,28,0.0
67,"Or, sa raison exige toujours d’outrepasser l’expérience.",4,4.0,8,2.5833333333333335,3.909722222222222,12.0,0.0,1,13,0.0
68,"Dès lors, cet homme qui comment la violence par l’expérience ne peut que développer l’idée régulatrice d’une paix perpétuelle.",5,5.0,14,3.269230769230769,11.889053254437869,26.0,0.0,1,27,0.0
69,"Mais celle-ci est une illusion de la raison dont aucune expérience n’est possible, mais si Kant la croit néanmoins utile, c’est parce qu’il envisage encore la raison comme un contenu de vérité (critique que formule Deleuze à son encontre dans Différence et répétition).",8,8.0,49,4.181818181818182,50.585123966942156,55.0,0.0,1,56,0.0
70,"Contre cette illusion d'un contenu de vérité permanent, il faut reconnaître l'importance du hasard qui détermine la vérité comme une rencontre contingente.",7,7.0,15,2.888888888888889,10.172839506172838,27.0,0.0,1,28,0.0
71,"C'est ce à quoi invite Simone Weil dans La pesanteur et la grâce (23, Hasard).",5,5.0,17,3.2,16.96,20.0,0.0,1,21,0.0
72,"L'idée de progrès est dépendante de la volonté qu'ont les hommes de croire que les bonnes choses durent toujours, qu'elles ne durent que le temps d'une rencontre.",8,8.0,30,3.2222222222222223,23.117283950617285,36.0,0.0,1,37,0.0
73,"Le cours naturel des événements est celui du hasard de la rencontre, et l'idéologie du progrès fait violence à cela.",5,5.0,17,3.391304347826087,15.890359168241968,23.0,0.0,1,24,0.0
74,Car les choses durent le temps d'une rencontre signifie qu'elles ne durent pas toujours.,5,5.0,15,3.388888888888889,10.793209876543209,18.0,0.0,1,19,0.0
75,Il en va de même avec la raison et la pensée ; ce n'est que parce qu'elle dure pour dépasser et permanente la pensée et la raison que l'idéologie du progrès peut envisager une construction infinie de l'homme vers la fin de la violence.,7,7.0,50,3.8461538461538463,54.01479289940828,52.0,0.0,1,53,0.0
76,"Or pensée et raison cheminent aussi par rencontres, avec des obstacles stimulants, des problèmes invitant résolution, etc.",5,5.0,16,3.15,12.5275,20.0,0.0,1,21,0.0
77,"Cela invite également à reconnaître que tout n'est pas pensé, c'est-à-dire qu'il y a aussi du pulsionnel, de l'émotionnel, rendant impossible la pureté dont se revendique une idéologie du progrès.",11,11.0,44,4.977777777777778,46.643950617283956,45.0,0.0,1,46,0.0
78,"Comment alors tirer les enseignements de ce qui précède pour constituer la violence en problème politique en la sortant d'une nature humaine qui toujours devrait être dépassée, et comme supprimée dans ce dépassement ?",9,9.0,34,3.1666666666666665,30.13888888888889,36.0,0.0,1,37,0.0
79,"Une première solution est présentée dans la philosophie de l'histoire de Benjamin (Thèses sur le concept d'Histoire), elle consiste avant tout en une politique mémorielle.",6,6.0,28,3.65625,32.4755859375,32.0,0.0,1,33,0.0
80,"Prenant acte de la conception impérialiste de l'Histoire qui a dominé l'occident, Benjamin encourage la création d'une Histoire (ou d'une historiographie) soutenue, qui ne serait plus celle écrite par les vainqueurs des guerres mais celle écrite par les vaincus.",8,8.0,33,3.7450980392156863,29.797770088427523,51.0,0.0,1,52,0.0
81,C'est une telle ambition que Benjamin reconnaît au mouvement surréaliste dans Le Surréalisme.,5,5.0,10,2.933333333333333,5.795555555555556,15.0,0.0,1,16,0.0
82,Le dernier instantané de l'intelligentsia européenne (1929).,4,4.0,9,2.909090909090909,6.8099173553719,11.0,0.0,1,12,0.0
83,"En effet le surréalisme rentre dans la conceptualisation benjaminienne du messianisme historique comme celui des opprimés, car il prend parti pour les courants perdants dans l'Histoire : le fouriérisme perdant face au marxisme, la sorcellerie et le mysticisme perdants face à l'Église, l'anarchisme perdant face au communisme (notamment dans la guerre civile espagnole de 1936-1939), et bien sûr la cause des fous (universellement perdants contre la raison et surtout le positivisme) que le surréalisme reprend dans le projet d'écriture automatique (l'automatisme étant au XIXe s' et au début du XXe siècles considéré comme le symptôme majeur de la folie, comme on le constate dans le Manuel de psychiatrie de Rogues de Fursac), considéré comme foyer principal de créativité artistique.",11,11.0,140,5.506944444444445,190.041618441358,144.0,0.0,1,145,0.0
84,"Ainsi, il s'agit de conserver la mémoire vivante des opprimés, à l'encontre du récit officiel qui s'inscrit dans une historiographie de la domination.",8,8.0,26,3.096774193548387,20.732570239334027,31.0,0.0,1,32,0.0
85,Cela correspond à un mouvement commémoratif qui restaure une identité perdue et réintroduit de la cyclicité dans la temporalité linéaire de la civilisation occidentale.,7,7.0,23,2.875,19.442708333333332,24.0,0.0,1,25,0.0
86,"En conclusion, il apparaît que la violence est par nature un problème temporel et donc historique.",5,5.0,13,3.235294117647059,10.53287197231834,17.0,0.0,1,18,0.0
87,"De même, il apparaît qu'il ne faut plus comprendre ""violence et histoire"" comme deux concepts artificiellement reliés, mais comme coïncidant simultanément l'un dans l'autre.",8,8.0,30,3.2941176470588234,24.560553633217996,34.0,0.0,1,35,0.0
88,"Il ne saurait y avoir de progression de la violence vers une Histoire sans violence (ou une paix perpétuelle), mais une intégration de la violence au sein de cycles qui en permettent la gestion et l'encadrement, que ces cycles soient sous forme de jeux, de rites ou de commémorations.",10,10.0,54,3.8392857142857144,59.384885204081634,56.0,0.0,1,57,0.0
89,Tout l'enjeu pour la civilisation occidentale étant de se déprendre d'une conception linéaire du temps en politique et dans la culture en général.,7,7.0,19,2.814814814814815,11.632373113854593,27.0,0.0,1,28,0.0
