sms_id,Texte_texte,Texte_profondeur_arbre_max,Texte_profondeur_arbre_moy,Texte_distance_dependance_max,Texte_distance_dependance_moy,Texte_distance_dependance_var,Texte_nb_dependances_moy_phrase,Texte_nb_dependances_var_phrase,Texte_nb_phrases,Texte_nb_tokens,divergence_score
1,"Dans le film Les Damnés – titre originellement en italien La Chute des dieux en référence à l'opéra éponyme de Richard Wagner – Luchino Visconti met en scène la famille Essenbeck, propriétaire d'une grande aciérie allemande qui collabore à la montée du nazisme au pouvoir dans les années 1930\.",8,8.0,28,3.581818181818182,32.42512396694215,55.0,0.0,1,56,0.0
2,"Dans ce drame se lit une métaphore de la violence qui domina cette période de l'histoire, placée par Visconti sous le signe d'un nihilisme métaphysique, d'une destruction des valeurs et de toute transcendance, au profit de l'expansion des pulsions de mort les plus primaires: la violence qui s'exprime dans le film est aussi bien celle dirigée contre l'autre et l'étranger dans le racisme, que celle dirigée contre ses propres pairs et proches dans l'inceste et le parricide, qu'encore celle dirigée contre soi-même dans la destruction projective de soi dans l'autre à travers la pédophilie du jeune héritier de la famille.",8,8.0,124,7.5390625,191.81097412109375,128.0,0.0,1,129,0.0
3,"C'est une violence uniquement déterminée par la haine et l'ambition illimitée du pouvoir, de la domination ; toute dimension rituelle ou sacrificielle qui encadrerait la violence dans un contexte religieux fait ici défaut, la violence est déritualisée libérée de toute entrave, littéralement hors norme et hors cadre.",7,7.0,50,4.555555555555555,82.50617283950615,54.0,0.0,1,55,0.0
4,"En se référant à l'opéra de Wagner, Les Damnés renvoient à une conception du temps qui est celui des mythologies, et donc un temps cyclique qui encadre l'expansion de la violence dans des rituels, c'est-à-dire contraignent la pulsion de mort à répéter la répétition, chose qu'elle cherche justement à fuir dans un éternel recommencement qui annule le sentiment de durée propre à la répétition.",16,16.0,68,3.9125,66.92984375,80.0,0.0,1,81,0.0
5,"Hors de ce cadre, de cette norme, la pulsion de mort est livrée à elle-même, elle intègre le sujet dans une temporalité viciatrice qui, pour Visconti, est précisément la temporalité du nazisme.",5,5.0,25,3.7948717948717947,23.752794214332674,39.0,0.0,1,40,0.0
6,Le film semble ainsi faire l'hypothèse selon laquelle l'expansion de pulsions violentes serait déterminée par une certaine conception du temps historique.,7,7.0,23,3.12,20.1856,25.0,0.0,1,26,0.0
7,"En effet, en tant que passion négatrice inéluctable, la violence est par excellence la passion de la démesure, celle que les conventions cherchent premièrement à contenir en posant des interdits universels (celui de ne pas tuer autrui).",8,8.0,26,3.761904761904762,30.657596371882082,42.0,0.0,1,43,0.0
8,"En tant que passion négative, la violence ne peut trouver en elle-même sa résolution, celle-ci ne peut être posée que de l'extérieur par des normes sociales.",6,6.0,25,3.3529411764705883,20.522491349480973,34.0,0.0,1,35,0.0
9,"D'où l'importance, en tant que norme particulière, de la conception sociale, culturelle ou civilisationnelle du temps, qui varie selon les époques et les sociétés.",7,7.0,32,3.53125,31.4365234375,32.0,0.0,1,33,0.0
10,"L'histoire implique une conception elle-même historicisée du temps: il est par exemple cyclique dans les mythologies antiques gréco-romaines, et linéaire dans la religion chrétienne.",6,6.0,29,3.53125,28.4990234375,32.0,0.0,1,33,0.0
